"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\post\comment\firestore_reply_repo_impl.dart", "Dart", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 7, 60
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\post\firestore_post_repo_impl.dart", "Dart", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 9, 97
"d:\flutter-clean-architecture-instagram\lib\domain\entities\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\flutter-clean-architecture-instagram\lib\domain\entities\followed_user_info.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\flutter-clean-architecture-instagram\lib\domain\entities\followers_user_info.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"d:\flutter-clean-architecture-instagram\lib\domain\entities\notification_check.dart", "Dart", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"d:\flutter-clean-architecture-instagram\lib\domain\entities\registered_user.dart", "Dart", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\flutter-clean-architecture-instagram\lib\domain\entities\unregistered_user.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\firestore_notification.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\post\post_repository.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\story_repository.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\flutter-clean-architecture-instagram\lib\domain\repositories\user_repository.dart", "Dart", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 2, 11, 48
"d:\flutter-clean-architecture-instagram\lib\domain\use_cases\auth\log_in_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\flutter-clean-architecture-instagram\lib\domain\use_cases\auth\sign_out_auth_usecase.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\flutter-clean-architecture-instagram\lib\domain\use_cases\auth\sign_up_auth_usecase.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\flutter-clean-architecture-instagram\lib\domain\use_cases\definition.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\lib\domain\use_cases\follow\follow_this_user.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
